destination,distance_miles,travel_cost,lodging_per_night,avg_food_per_day,activity_cost,known_for,about,attractions,photo_url
Atlantic City,110,48,135,65,95,"Casinos, boardwalk entertainment, and seaside dining","Atlantic City is NJ's entertainment capital — iconic mile-long boardwalk, casinos, and great seafood. Spring crowds are smaller and rates are below peak.","Atlantic City Boardwalk|Steel Pier|Resorts Casino|Absecon Lighthouse|Ripley's Believe It or Not!|White House Sub Shop|Atlantic City Aquarium|Caesars Atlantic City",https://upload.wikimedia.org/wikipedia/commons/thumb/b/bd/A_sunset_view_of_the_beach_in_Atlantic_City%2C_NJ.jpg/800px-A_sunset_view_of_the_beach_in_Atlantic_City%2C_NJ.jpg
Cape May,140,52,165,70,85,"Victorian architecture, whale watching, and a historic National Landmark District","One of the oldest US seaside resorts — 600+ Victorian homes and prime spring whale-watching season.","Cape May Lighthouse (1859)|Victorian District walking tours|Cape May-Lewes Ferry|Whale & dolphin tours|Washington Street Mall|Sunset Beach|Cape May Bird Observatory|Cold Spring Village",https://upload.wikimedia.org/wikipedia/commons/thumb/b/b5/Cape_May_Beach_Ave_from_the_sea_3.JPG/800px-Cape_May_Beach_Ave_from_the_sea_3.JPG
Wildwood,135,50,120,62,80,"Free beach, Doo Wop architecture, and a 38-block amusement boardwalk","America's largest free beach and a 38-block boardwalk with 100+ rides. Doo Wop 1950s neon motels give it a pop-art identity.","Morey's Piers (100+ rides)|Wildwoods Boardwalk|Doo Wop Preservation Museum|Crest Pier fishing|Nickels Midway water park|Boyer Historical Museum|Cape May-Lewes Ferry nearby|Craft brewery strip",https://upload.wikimedia.org/wikipedia/commons/thumb/b/bd/Sunrise_in_Wildwood_New_Jersey_with_Atlantic_Ocean_looking_northeast.jpg/800px-Sunrise_in_Wildwood_New_Jersey_with_Atlantic_Ocean_looking_northeast.jpg
Seaside Heights,75,35,110,58,70,"Spring break vibe, Casino Pier coasters over the ocean, and MTV Jersey Shore filming location","The quintessential college spring break destination — Casino Pier over the ocean, lively boardwalk arcades, and budget group rentals.","Casino Pier (rides over ocean)|Breakwater Beach Water Park|Seaside Heights Boardwalk|Lucky Leo's Arcade|Funtown Pier|Berkeley Island Park|Barnegat Bay kayaking|Jenkinson's Aquarium nearby",https://upload.wikimedia.org/wikipedia/commons/thumb/7/79/Seaside_Heights_Casino_Pier_with_Hydrus_in_background.jpg/800px-Seaside_Heights_Casino_Pier_with_Hydrus_in_background.jpg
Asbury Park,55,28,130,65,75,"Live music, Art Deco boardwalk, and a vibrant creative scene","NJ's most eclectic beach city — indie music hub, LGBTQ+-welcoming, with Bruce Springsteen's home stage The Stone Pony and Art Deco Convention Hall.","The Stone Pony|Asbury Park Boardwalk|Convention Hall & Paramount Theatre|House of Independents|Wonder Bar|Asbury Hotel rooftop bar|Cookman Ave dining & galleries|Deal Lake waterfront",https://upload.wikimedia.org/wikipedia/commons/thumb/4/47/Paramount_Theatre_Asbury_Park_Convention_Hall_NJ2.jpg/800px-Paramount_Theatre_Asbury_Park_Convention_Hall_NJ2.jpg
Long Beach Island,90,40,155,62,65,"18-mile barrier island with quiet beaches, Old Barney lighthouse, and fresh seafood","18-mile barrier island via one causeway — true getaway feel with Barnegat Lighthouse panoramic views before summer prices kick in.","Barnegat Lighthouse State Park (Old Barney)|Beach Haven shops & restaurants|Surflight Theatre|Fantasy Island Amusement Park|LBI Foundation of the Arts|Holgate Wildlife Refuge|Bay-side kayaking|Schooner's Wharf seafood docks",https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Holgate_beach_bulkhead.jpg/800px-Holgate_beach_bulkhead.jpg
Ocean City NJ,120,45,125,58,70,"Family-friendly dry town, 2.5-mile boardwalk, and Shriver's salt water taffy","America's Greatest Family Resort — dry town since 1879, 2.5-mile boardwalk, Shriver's taffy, and the Doo Dah Parade in spring.","Ocean City Boardwalk|Gillian's Wonderland Pier|Shriver's Taffy Shop (est. 1898)|Ripley's Believe It or Not!|Music Pier (free concerts)|Corson's Inlet State Park|Cape May County Zoo (free)|Ocean City Historical Museum",https://upload.wikimedia.org/wikipedia/commons/thumb/f/fc/Ocean_City_NJ_beach_looking_south_from_Music_Pier.jpeg/800px-Ocean_City_NJ_beach_looking_south_from_Music_Pier.jpeg
Sandy Hook,40,18,0,48,25,"Free national park beaches, America's oldest lighthouse (1764), and Fort Hancock","6-mile NPS barrier spit — pristine free beach, the oldest US lighthouse (1764), and Fort Hancock Army post. Bring lunch and spend almost nothing.","Sandy Hook Lighthouse (oldest US, built 1764)|Fort Hancock Historic District|Gunnison Beach|Sandy Hook Bird Observatory|Nike Missile Site SF-88|Spermaceti Cove & tidepooling|Kayak & paddleboard rentals|NYC skyline views",https://upload.wikimedia.org/wikipedia/commons/thumb/1/12/Sandy_Hook_Aerial_1_%2811022025%29.jpg/800px-Sandy_Hook_Aerial_1_%2811022025%29.jpg
Princeton,45,22,115,60,50,"Princeton University, Ivy League campus architecture, and Einstein's hometown","Ivy League college town with free campus tours, a free world-class art museum, great coffee shops, and Albert Einstein's former home.","Princeton University campus tour (free)|Princeton Art Museum (free)|Nassau Hall (1756)|Einstein's former house on Mercer St|Princeton Battlefield State Park|Marquand Park arboretum (free)|Small World Coffee|Labyrinth Books & indie shops",https://upload.wikimedia.org/wikipedia/commons/thumb/d/df/Lower_Pyne_%28Princeton%29.jpg/800px-Lower_Pyne_%28Princeton%29.jpg
Delaware Water Gap,70,32,105,55,60,"Appalachian Trail, spring waterfalls, and Delaware River outdoor recreation","70,000-acre NPS recreation area — Appalachian Trail through it, peak spring waterfalls, and Mt. Tammany panoramic views over the Delaware River.","Mt. Tammany summit hike|Dingmans Falls & Silverthread Falls|Bushkill Falls (Niagara of PA)|Delaware River canoeing|Appalachian Trail hiking|Millbrook Village living history|Blue Mountain Lake canoe area|Kittatinny Ridge hawk watching",https://upload.wikimedia.org/wikipedia/commons/thumb/e/e5/Delaware_Water_Gap.jpg/800px-Delaware_Water_Gap.jpg
